No	Nama File	File ID	Status	Link Google Drive	Sumber
1	What is the impact on your account..jpg	1CMu4w0O4XWjGs537j5R0Mi352qUBMhVA	PUBLIC - VIEWER	https://drive.google.com/file/d/1CMu4w0O4XWjGs537j5R0Mi352qUBMhVA/view?usp=sharing	Direct File ID
2	warning This browser feature is for developers only.jpg	14V1KEUJ3PUyHau2P_KHkG1xZF_-n7QOP	PUBLIC - VIEWER	https://drive.google.com/file/d/14V1KEUJ3PUyHau2P_KHkG1xZF_-n7QOP/view?usp=sharing	Direct File ID
3	Submit your bank statement.jpg	1zGLiHVRdoY22RBX9-BkEffa4tQj-MhU_	PUBLIC - VIEWER	https://drive.google.com/file/d/1zGLiHVRdoY22RBX9-BkEffa4tQj-MhU_/view?usp=sharing	Direct File ID
4	SEMUA TUGAS BAPAK SUDAH SELESAI 100%!.jpg	1uumtjKI-AyIVcLuBpHmiTg3_Fv4UA3KR	PUBLIC - VIEWER	https://drive.google.com/file/d/1uumtjKI-AyIVcLuBpHmiTg3_Fv4UA3KR/view?usp=sharing	Direct File ID
5	Provide proof of fulfillment2.jpg	10GHxPqHaKj1lqW5tIP1dZP81ZEamt8tc	PUBLIC - VIEWER	https://drive.google.com/file/d/10GHxPqHaKj1lqW5tIP1dZP81ZEamt8tc/view?usp=sharing	Direct File ID
6	Provide proof of fulfillment.jpg	1sYFgwCz4F0qXXY76-9ojKCjI-Mw1XKr6	PUBLIC - VIEWER	https://drive.google.com/file/d/1sYFgwCz4F0qXXY76-9ojKCjI-Mw1XKr6/view?usp=sharing	Direct File ID
7	Provide more info on your transaction(s)2.jpg	1NVNRAwlT3X1SvGf5OmQizzqX1NLqKm39	PUBLIC - VIEWER	https://drive.google.com/file/d/1NVNRAwlT3X1SvGf5OmQizzqX1NLqKm39/view?usp=sharing	Direct File ID
8	Provide more info on your transaction(s).jpg	1uCWcVuFP-YWAEmSKtifrK9E_tGy7f0xh	PUBLIC - VIEWER	https://drive.google.com/file/d/1uCWcVuFP-YWAEmSKtifrK9E_tGy7f0xh/view?usp=sharing	Direct File ID
9	penjelasan Provide proof of fulfillment.txt	1_rxnCIGbTxl00kmsOS-kEhJwAFKUBr9t	PUBLIC - VIEWER	https://drive.google.com/file/d/1_rxnCIGbTxl00kmsOS-kEhJwAFKUBr9t/view?usp=sharing	Direct File ID
10	paypal_jadi_kuning [2].jpg	1dhnTvcTUy_4CrLIZ8SGAtol00Qie_4rc	PUBLIC - VIEWER	https://drive.google.com/file/d/1dhnTvcTUy_4CrLIZ8SGAtol00Qie_4rc/view?usp=sharing	Direct File ID
11	paypal_jadi_kuning [1].jpg	1LeScK11V4BlBiP5jUQ-fFWrBVOrYEWKh	PUBLIC - VIEWER	https://drive.google.com/file/d/1LeScK11V4BlBiP5jUQ-fFWrBVOrYEWKh/view?usp=sharing	Direct File ID
12	paypal versi mobile warna kuning.jpeg	1aXrNCUQ4BCHFzNpQKfKaHzuoclIqimmC	PUBLIC - VIEWER	https://drive.google.com/file/d/1aXrNCUQ4BCHFzNpQKfKaHzuoclIqimmC/view?usp=sharing	Direct File ID
13	lampu paypal.jpg	1TrjQXj7DSs57CqcaVBFEKGQ9OiLwlH_Q	PUBLIC - VIEWER	https://drive.google.com/file/d/1TrjQXj7DSs57CqcaVBFEKGQ9OiLwlH_Q/view?usp=sharing	Direct File ID
